Frame,Time,People_Count_true,Time_teacher,People_Count_teacher,Time_qc,People_Count_qc,Difference
1630,1:19:31,5,1:19:31,6.0,02:52:42,6,1
1635,1:19:32,5,1:19:32,6.0,02:52:50,6,1
1640,1:19:33,5,1:19:33,6.0,02:52:57,6,1
1645,1:19:34,5,1:19:34,6.0,02:53:05,7,2
1650,1:19:35,5,1:19:35,7.0,02:53:12,6,1
1655,1:19:36,5,1:19:36,7.0,02:53:20,6,1
1660,1:19:37,5,1:19:37,7.0,02:53:27,7,2
1665,1:19:38,5,1:19:38,7.0,02:53:34,6,1
1670,1:19:39,5,1:19:39,7.0,02:53:42,7,2
1675,1:19:40,5,1:19:40,7.0,02:53:49,7,2
1680,1:19:40,5,1:19:40,8.0,02:53:57,6,1
1685,1:19:41,5,1:19:41,8.0,02:54:04,6,1
1690,1:19:42,5,1:19:42,8.0,02:54:12,6,1
1695,1:19:43,5,1:19:43,7.0,02:54:20,7,2
1700,1:19:44,5,1:19:44,7.0,02:54:27,9,4
1705,1:19:45,5,1:19:45,7.0,02:54:34,7,2
1710,1:19:46,5,1:19:46,7.0,02:54:42,7,2
1715,1:19:47,5,1:19:47,7.0,02:54:50,7,2
1720,1:19:48,5,1:19:48,7.0,02:54:57,7,2
1725,1:19:49,5,1:19:49,7.0,02:55:05,5,0
1730,1:19:50,5,1:19:50,7.0,02:55:12,7,2
1735,1:19:51,5,1:19:51,7.0,02:55:19,8,3
1740,1:19:52,5,1:19:52,7.0,02:55:27,7,2
1745,1:19:53,5,1:19:53,7.0,02:55:34,6,1
1750,1:19:54,5,1:19:54,7.0,02:55:42,6,1
1755,1:19:55,5,1:19:55,7.0,02:55:50,8,3
1760,1:19:56,5,1:19:56,7.0,02:55:57,7,2
1765,1:19:57,5,1:19:57,7.0,02:56:04,7,2
1770,1:19:58,5,1:19:58,7.0,02:56:12,7,2
1775,1:19:59,5,1:19:59,7.0,02:56:19,7,2
1780,1:20:00,5,1:20:00,7.0,02:56:27,7,2
1785,1:20:01,5,1:20:01,7.0,02:56:35,6,1
1790,1:20:02,5,1:20:02,7.0,02:56:42,7,2
1795,1:20:03,5,1:20:03,7.0,02:56:49,7,2
1800,1:20:04,5,1:20:04,7.0,02:56:57,6,1
1805,1:20:05,5,1:20:05,7.0,02:57:04,7,2
1810,1:20:06,5,1:20:06,7.0,02:57:12,7,2
1815,1:20:07,5,1:20:07,7.0,02:57:19,6,1
1820,1:20:08,5,1:20:08,7.0,02:57:27,7,2
1825,1:20:08,5,1:20:08,7.0,02:57:34,7,2
1830,1:20:10,5,1:20:10,8.0,02:57:42,7,2
1835,1:20:11,5,1:20:11,8.0,02:57:49,6,1
1840,1:20:12,5,1:20:12,8.0,02:57:57,6,1
1845,1:20:12,5,1:20:12,8.0,02:58:04,6,1
1850,1:20:13,5,1:20:13,8.0,02:58:12,6,1
1855,1:20:14,5,1:20:14,7.0,02:58:19,5,0
1860,1:20:15,5,1:20:15,6.0,02:58:27,6,1
1865,1:20:16,5,1:20:16,7.0,02:58:34,6,1
1870,1:20:17,5,1:20:17,7.0,02:58:42,5,0
1875,1:20:18,5,1:20:18,6.0,02:58:49,6,1
1880,1:20:19,5,1:20:19,6.0,02:58:57,5,0
1885,1:20:20,5,1:20:20,6.0,02:59:04,6,1
1890,1:20:21,5,1:20:21,6.0,02:59:11,6,1
1895,1:20:22,5,1:20:22,6.0,02:59:19,6,1
1900,1:20:23,5,1:20:23,6.0,02:59:27,6,1
1905,1:20:24,5,1:20:24,8.0,02:59:34,6,1
1910,1:20:25,5,1:20:25,8.0,02:59:41,7,2
1915,1:20:26,5,1:20:26,8.0,02:59:49,7,2
1920,1:20:27,5,1:20:27,8.0,02:59:57,6,1
1925,1:20:28,5,1:20:28,8.0,03:00:04,6,1
1930,1:20:29,5,1:20:29,8.0,03:00:11,6,1
1935,1:20:30,5,1:20:30,8.0,03:00:19,6,1
1940,1:20:31,5,1:20:31,8.0,03:00:26,7,2
1945,1:20:32,5,1:20:32,7.0,03:00:34,8,3
1950,1:20:33,5,1:20:33,7.0,03:00:41,6,1
1955,1:20:34,5,1:20:34,7.0,03:00:49,7,2
1960,1:20:35,5,1:20:35,7.0,03:00:56,7,2
1965,1:20:36,5,1:20:36,7.0,03:01:04,6,1
1970,1:20:37,5,1:20:37,7.0,03:01:11,6,1
1975,1:20:38,5,1:20:38,7.0,03:01:19,6,1
1980,1:20:39,5,1:20:39,7.0,03:01:26,7,2
1985,1:20:40,5,1:20:40,7.0,03:01:34,6,1
1990,1:20:40,5,1:20:40,7.0,03:01:41,6,1
1995,1:20:42,5,1:20:42,7.0,03:01:49,6,1
2000,1:20:43,5,1:20:43,7.0,03:01:56,6,1
2005,1:20:44,5,1:20:44,7.0,03:02:04,7,2
2010,1:20:44,5,1:20:44,7.0,03:02:11,8,3
2015,1:20:45,5,1:20:45,8.0,03:02:19,8,3
2020,1:20:46,5,1:20:46,7.0,03:02:26,9,4
2025,1:20:47,5,1:20:47,7.0,03:02:34,7,2
2030,1:20:48,5,1:20:48,7.0,03:02:42,8,3
2035,1:20:49,5,1:20:49,7.0,03:02:49,8,3
2040,1:20:50,5,1:20:50,7.0,03:02:57,6,1
2045,1:20:51,5,1:20:51,7.0,03:03:04,6,1
2050,1:20:52,5,1:20:52,7.0,03:03:12,7,2
2055,1:20:53,5,1:20:53,7.0,03:03:19,6,1
2060,1:20:54,5,1:20:54,7.0,03:03:27,7,2
2065,1:20:55,5,1:20:55,7.0,03:03:34,7,2
2070,1:20:56,5,1:20:56,6.0,03:03:42,7,2
2075,1:20:57,5,1:20:57,7.0,03:03:49,7,2
2080,1:20:58,5,1:20:58,7.0,03:03:57,7,2
2085,1:20:59,5,1:20:59,7.0,03:04:04,6,1
2090,1:21:00,5,1:21:00,7.0,03:04:12,6,1
2095,1:21:01,5,1:21:01,7.0,03:04:19,6,1
2100,1:21:02,5,1:21:02,6.0,03:04:27,8,3
2105,1:21:03,5,1:21:03,6.0,03:04:34,6,1
2110,1:21:04,5,1:21:04,6.0,03:04:41,6,1
2115,1:21:05,5,1:21:05,5.0,03:04:49,8,3
2120,1:21:06,5,1:21:06,6.0,03:04:57,6,1
2125,1:21:07,5,1:21:07,6.0,03:05:04,6,1
2130,1:21:08,5,1:21:08,6.0,03:05:12,6,1
2135,1:21:09,5,1:21:09,5.0,03:05:19,5,0
2140,1:21:10,5,1:21:10,6.0,03:05:27,6,1
2145,1:21:11,5,1:21:11,6.0,03:05:35,6,1
